Sentence #,Word,Tag
,current,O
,time,O
,and,O
,for,O
,the,O
,mid-point,O
,of,O
,a,O
,30-year,O
,period,O
,spanning,O
,2071Ã¢â¬â2099,O
,(,O
,i.e,O
,.,O
Sentence: 11,Hutch.,O
,",",O
,Q.,O
,serrata,O
,var,O
,.,O
Sentence: 12,Since,O
,our,O
,hypotheses,O
,are,O
,based,O
,on,O
,growth,B-Quality
,characteristics,I-Quality
,of,O
,crown,O
,and,O
,stem,O
,",",O
,the,O
,trees,B-Organism
,were,O
,allocated,O
,to,O
,the,O
,functional,O
,groups,O
,according,O
,to,O
,adult,B-Quality
,tree,I-Quality
,height,I-Quality
,(,O
,canopy,B-Organism
,tree,I-Organism
,vs.,O
,sub-canopy,B-Organism
,tree,I-Organism
,),O
,(,O
,Poorter,O
,et,O
,al.,O
,",",O
,2006,O
,),O
,",",O
,leaf,B-Quality
,longevity,I-Quality
,(,O
,evergreen,B-Quality
,vs.,O
,deciduous,B-Quality
,),O
,(,O
,Deng,O
,et,O
,al.,O
,",",O
,2008,O
,),O
,and,O
,leaf,B-Quality
,morphology,I-Quality
,(,O
,simple,O
,leaves,O
,",",O
,compound,O
,leaves,O
,",",O
,needles,O
,),O
,.,O
Sentence: 13,Helper,O
,(,O
,no,O
,),O
,",",O
,no,O
,Helper,O
,column,O
,to,O
,understand,O
,other,O
,columns,O
,in,O
,this,O
,data,O
,set,O
,(,O
,no,O
,:,O
,No,O
,of,O
,column,O
,",",O
,Headline,O
,:,O
,Soil,B-Environment
,horizon,I-Environment
,description,I-Quality
,I,O
,),O
,Helper,O
,column,O
,to,O
,understand,O
,other,O
,columns,O
,in,O
,this,O
,data,O
,set,O
,Helper,O
,Helper,O
,column,O
,to,O
,understand,O
,other,O
,columns,O
,in,O
,this,O
,data,O
,set,O
,No,O
,of,O
,column,O
,",",O
,Headline,O
,:,O
,Soil,B-Environment
,horizon,I-Environment
,description,I-Quality
,I,O
,Soil,B-Quality
,description,I-Quality
,(,O
,according,O
,to,O
,``,O
,Bodenkundliche,O
,Kartieranleitung,O
,Kartieranleitung,O
,),O
,(,O
,horizon_depth29,O
,),O
,",",O
,horizon_depth29,O
,Basic,O
,information,O
,on,O
,soil,B-Quality
,properties,I-Quality
,",",O
,according,O
,to,O
,``,O
,Eckelmann,O
,",",O
,W.,O
,",",O
,Sponagel,O
,",",O
,H.,O
,",",O
,Grottenthaler,O
,",",O
,W.,O
,",",O
,Hartmann,O
,",",O
,J.,O
,K.,O
,",",O
,Hartwich,O
,",",O
,R.,O
,",",O
,Janetzko,O
,",",O
,P.,O
,",",O
,...,O
,&,O
,Traidl,O
,",",O
,R.,O
,(,O
,2005,O
,),O
,.,O
Sentence: 14,However,O
,",",O
,agroforestry,O
,systems,O
,had,O
,comparatively,O
,low,O
,biodiversity,O
,",",O
,and,O
,we,O
,found,O
,no,O
,evidence,O
,for,O
,a,O
,tight,O
,link,O
,between,O
,carbon,B-Matter
,storage,O
,and,O
,biodiversity,O
,.,O
Sentence: 15,us-doi-gov_055f3bf9-d77d-48f2-b504-cbbfdb5a394b,O
,Habitat,B-Environment
,--,O
,Offshore,O
,Pigeon,O
,Point,O
,",",O
,California,O
,Habitat,B-Environment
,--,O
,Offshore,O
,Pigeon,O
,Point,O
,",",O
,California,O
,This,O
,part,O
,of,O
,DS,O
,781,O
,presents,O
,data,O
,for,O
,the,O
,habitat,B-Environment
,map,O
,of,O
,the,O
,seafloor,B-Environment
,of,O
,the,O
,Offshore,O
,of,O
,Pigeon,O
,Point,O
,map,O
,area,B-Quality
,",",O
,California,O
,.,O
Sentence: 16,Reef,B-Organism
,Fishes,I-Organism
,in,O
,Biodiversity,O
,Hotspots,O
,Are,O
,at,O
,Greatest,O
,Risk,O
,from,O
,Loss,O
,of,O
,Coral,B-Organism
,Species,I-Organism
,Coral,B-Environment
,reef,I-Environment
,ecosystems,I-Environment
,are,O
,under,O
,a,O
,variety,O
,of,O
,threats,O
,from,O
,global,O
,change,O
,and,O
,anthropogenic,O
,disturbances,O
,that,O
,are,O
,reducing,O
,the,O
,number,O
,and,O
,type,O
,of,O
,coral,B-Organism
,species,I-Organism
,on,O
,reefs,B-Environment
,.,O
Sentence: 17,Three,O
,sites,O
,of,O
,a,O
,water,B-Matter
,network,B-Matter
,were,O
,sampled,O
,during,O
,four,O
,months,O
,.,O
Sentence: 18,From,O
,27,O
,comparative,O
,study,O
,plots,O
,(,O
,CSPs,O
,),O
,soil,B-Matter
,samples,I-Matter
,were,O
,taken,O
,in,O
,6,O
,depth,B-Quality
,increments,O
,per,O
,CSP,O
,117.8998,O
,118.1483,O
,29.2852,O
,29.10178,O
,2/2/2008,O
,########,O
,no,O
,organisms,B-Organism
,no,O
,organisms,B-Organism
,tscholten,O
,pkuehn,O
,cgeissler,O
,CSPs,O
,:,O
,Soil,B-Environment
,CNS,O
,and,O
,pH,B-Quality
,analyses,O
,of,O
,depth,B-Quality
,increments,O
,in,O
,the,O
,Comparative,O
,Study,O
,Plots,O
,Soil,O
,chemical,O
,laboratory,O
,analyses,O
,of,O
,all,O
,27,O
,comparative,O
,study,O
,plots,O
,.,O
Sentence: 19,For,O
,a,O
,few,O
,organisms,B-Organism
,without,O
,genome,O
,assembly,O
,data,O
,",",O
,transcriptome,O
,data,O
,are,O
,included,O
,(,O
,e.g,O
,.,O
Sentence: 20,Starting,O
,with,O
,the,O
,thickest,O
,branch,O
,",",O
,then,O
,going,O
,down,O
,to,O
,3,O
,cm,O
,diameter,B-Quality
,(,O
,Idaddon,O
,:,O
,part,O
,number,O
,of,O
,individuum,O
,",",O
,however,O
,",",O
,Idaddon,O
,#ERROR!,O
,1,O
,is,O
,not,O
,always,O
,the,O
,root,O
,item,O
,of,O
,a,O
,multi-item,O
,object,O
,.,O
Sentence: 21,If,O
,the,O
,top,B-Quality
,diameter,I-Quality
,is,O
,not,O
,given,O
,",",O
,then,O
,it,O
,is,O
,3,O
,cm,O
,in,O
,diameter,B-Quality
,diameter,B-Quality
,of,O
,the,O
,stem,O
,or,O
,snag,O
,at,O
,the,O
,broken,O
,point,O
,;,O
,extracted,O
,from,O
,comments,O
,;,O
,Datagroup,O
,description,O
,:,O
,Woody,B-Quality
,debris,I-Quality
,dimensions,I-Quality
,CSP,O
,metal,O
,tag,O
,number,O
,(,O
,trees,B-Organism
,",",O
,woody,B-Matter
,debris,I-Matter
,),O
,(,O
,neigh.label,O
,),O
,",",O
,dimensionless,O
,neigh.label,O
,CSP,O
,tree,B-Organism
,individuals,O
,were,O
,marked,O
,mostly,O
,with,O
,metal,O
,tags,O
,but,O
,also,O
,additional,O
,tags,O
,were,O
,used,O
,.,O
Sentence: 22,rogenhoferi,O
,:,O
,Arthropod,B-Organism
,species,I-Organism
,or,O
,morphospecies,B-Organism
,),O
,Arthropod,B-Organism
,species,I-Organism
,or,O
,morphospecies,B-Organism
,(,O
,Crematogaster,B-Organism
,cf,O
,.,O
Sentence: 23,C,O
,carbon,B-Matter
,C/N,O
,ratio,O
,CSP,O
,N,O
,nitrogen,B-Matter
,pH,B-Quality
,S,O
,SOC,O
,soil,B-Environment
,soil,B-Environment
,base,I-Environment
,soil,B-Quality
,depth,I-Quality
,SON,O
,Find,O
,the,O
,list,O
,of,O
,keywords,O
,here,O
,:,O
,lab_num,O
,CSP,O
,sample_num,O
,depth_lb,O
,pH_H2O,O
,pH_KCl,O
,N_t,O
,C_t,O
,S_t,O
,C_N,O
,List,O
,of,O
,headers,O
,of,O
,the,O
,data,O
,columns,O
,in,O
,this,O
,dataset,O
,Permission,O
,is,O
,granted,O
,to,O
,anybody,O
,to,O
,access,O
,",",O
,use,O
,and,O
,publish,O
,all,O
,open,O
,for,O
,public,O
,data,O
,freely,O
,.,O
Sentence: 24,Number,O
,of,O
,individuals,O
,Organism,B-Quality
,count,I-Quality
,(,O
,Eutrichosiphum.tattakanum,O
,),O
,",",O
,Eutrichosiphum.tattakanum,O
,Counting,O
,the,O
,individuals,O
,of,O
,a,O
,given,O
,taxon,B-Organism
,",",O
,also,O
,called,O
,abundance,B-Quality
,.,O
Sentence: 25,standard,O
,error,O
,of,O
,rare,O
,faction,O
,of,O
,functional,O
,groups,O
,of,O
,target,O
,group,O
,Crown,O
,architecture,O
,(,O
,rd,O
,),O
,",",O
,ad/mean,O
,radius,O
,rd,O
,Crown,O
,radii,O
,in,O
,the,O
,eight,O
,subcardinal,O
,directions,O
,were,O
,determined,O
,by,O
,means,O
,of,O
,a,O
,crown,O
,mirror,O
,.,O
Sentence: 26,Soil,O
,chemical,O
,laboratory,O
,analyses,O
,of,O
,all,O
,plots,O
,on,O
,Site,O
,A,O
,.,O
Sentence: 27,An,O
,Overview,O
,of,O
,Marine,O
,Biodiversity,O
,in,O
,United,O
,States,O
,Waters,O
,Marine,O
,biodiversity,O
,of,O
,the,O
,United,O
,States,O
,(,O
,U.S.,O
,),O
,is,O
,extensively,O
,documented,O
,",",O
,but,O
,data,O
,assembled,O
,by,O
,the,O
,United,O
,States,O
,National,O
,Committee,O
,for,O
,the,O
,Census,O
,of,O
,Marine,O
,Life,O
,demonstrate,O
,that,O
,even,O
,the,O
,most,O
,complete,O
,taxonomic,O
,inventories,O
,are,O
,based,O
,on,O
,records,O
,scattered,O
,in,O
,space,O
,and,O
,time,O
,.,O
Sentence: 28,A,O
,paradigmatic,O
,example,O
,is,O
,the,O
,leaf-cutter,O
,ant,B-Organism
,(,O
,Tribe,O
,:,O
,Attini,O
,),O
,",",O
,which,O
,uses,O
,fresh,O
,leaves,O
,to,O
,cultivate,O
,a,O
,fungus,B-Organism
,for,O
,food,O
,in,O
,specialized,O
,gardens,B-Environment
,.,O
Sentence: 29,Additionally,O
,",",O
,we,O
,evaluate,O
,the,O
,effectiveness,O
,of,O
,protected,B-Environment
,areas,I-Environment
,based,O
,on,O
,their,O
,respective,O
,management,O
,objectives,O
,.,O
Sentence: 30,This,O
,may,O
,refer,O
,to,O
,insects,B-Organism
,such,O
,as,O
,borers,O
,or,O
,termites,O
,but,O
,also,O
,to,O
,fungi,B-Organism
,such,O
,as,O
,white,O
,or,O
,red,O
,rot,O
,fungi,B-Organism
,.,O
Sentence: 31,It,O
,is,O
,particularly,O
,TRUE,O
,that,O
,existing,O
,models,O
,have,O
,been,O
,underutilized,O
,in,O
,testing,O
,different,O
,management,O
,options,O
,under,O
,climate,B-Phenomena
,change,I-Phenomena
,.,O
Sentence: 32,Cite,O
,the,O
,data,O
,as,O
,follows,O
,:,O
,GeiÃƒÅ¸ler,O
,",",O
,C.,O
,",",O
,Scholten,O
,",",O
,T.,O
,and,O
,KÃƒÂ¼hn,O
,",",O
,P.,O
,(,O
,2011,O
,),O
,:,O
,CSP,O
,soil,B-Quality
,profile,I-Quality
,description,I-Quality
,II,O
,:,O
,soil,B-Environment
,horizons,I-Environment
,.,O
Sentence: 33,In,O
,this,O
,context,O
,",",O
,replacing,O
,taxonomic,O
,predictors,O
,by,O
,trait-based,O
,measures,O
,of,O
,functional,O
,composition,O
,(,O
,FC,O
,),O
,Ã¢â¬âbridging,O
,functions,O
,of,O
,species,B-Organism
,and,O
,of,O
,ecosystemsÃ¢â¬âis,O
,a,O
,widely,O
,used,O
,approach,O
,.,O
Sentence: 34,Moreover,O
,",",O
,the,O
,use,O
,of,O
,leaves,O
,of,O
,the,O
,introduced,O
,species,B-Organism
,Reynoutria,O
,japonica,O
,in,O
,Romania,O
,",",O
,Colocasia,O
,esculenta,O
,in,O
,Turkey,O
,",",O
,and,O
,Phytolacca,O
,americana,O
,in,O
,Macedonia,O
,shows,O
,the,O
,dynamic,O
,nature,B-Environment
,of,O
,folk,O
,cuisines,O
,.,O
Sentence: 35,(,O
,rare_fg,O
,:,O
,rare,O
,faction,O
,of,O
,functional,O
,groups,O
,of,O
,target,O
,group,O
,.,O
Sentence: 36,Speciation,B-Phenomena
,",",O
,the,O
,formation,O
,of,O
,new,O
,species,B-Organism
,from,O
,ancestral,O
,populations,O
,",",O
,occurs,O
,by,O
,two,O
,primary,O
,allopatric,O
,mechanisms,O
,:,O
,vicariance,O
,",",O
,where,O
,the,O
,ancestral,O
,population,O
,is,O
,passively,O
,divided,O
,into,O
,two,O
,large,O
,subpopulations,O
,that,O
,later,O
,diverge,O
,and,O
,form,O
,two,O
,daughter,O
,species,B-Organism
,",",O
,and,O
,dispersal,O
,",",O
,in,O
,which,O
,a,O
,small,O
,subset,O
,of,O
,the,O
,ancestral,O
,population,O
,actively,O
,migrates,O
,then,O
,diverges,O
,to,O
,form,O
,a,O
,new,O
,species,B-Organism
,.,O
Sentence: 37,As,O
,in,O
,ants,B-Organism
,most,O
,ecological,O
,information,O
,is,O
,shared,O
,between,O
,members,O
,of,O
,a,O
,genus,B-Quality
,",",O
,the,O
,genus,B-Quality
,names,I-Quality
,are,O
,provided,O
,as,O
,separate,O
,data,O
,colum,O
,.,O
Sentence: 38,Biological,B-Environment
,soil,I-Environment
,crusts,I-Environment
,runoff,O
,plots,O
,soil,B-Phenomena
,erosion,I-Phenomena
,Find,O
,the,O
,list,O
,of,O
,keywords,O
,here,O
,:,O
,Family,B-Quality
,Species,B-Organism
,Sub,O
,Author,O
,List,O
,of,O
,headers,O
,of,O
,the,O
,data,O
,columns,O
,in,O
,this,O
,dataset,O
,Sites,O
,A,O
,and,O
,B,O
,",",O
,locations,O
,of,O
,runoff,O
,plots,O
,117.8998,O
,118.1483,O
,29.2852,O
,29.10178,O
,########,O
,########,O
,sseitz,O
,Main,O
,Experiment,O
,:,O
,Cover,O
,of,O
,Biological,B-Environment
,Soil,I-Environment
,Crusts,I-Environment
,in,O
,Runoff,O
,Plots,O
,:,O
,bryophyte,B-Organism
,species,I-Organism
,Biological,B-Environment
,soil,I-Environment
,crusts,I-Environment
,(,O
,BSCs,O
,),O
,were,O
,sampled,O
,in,O
,runoff,O
,plots,O
,of,O
,sites,O
,A,O
,and,O
,B,O
,in,O
,2013,O
,.,O
Sentence: 39,The,O
,objectives,O
,of,O
,this,O
,study,O
,were,O
,to,O
,compare,O
,the,O
,microbial,O
,populations,O
,of,O
,the,O
,duodenum,O
,",",O
,ileum,O
,",",O
,cecum,O
,",",O
,colon,O
,and,O
,rectum,O
,(,O
,feces,O
,),O
,within,O
,and,O
,between,O
,healthy,O
,horses,B-Organism
,",",O
,and,O
,to,O
,determine,O
,whether,O
,rectal,O
,(,O
,fecal,O
,),O
,samples,O
,are,O
,representative,O
,of,O
,proximal,O
,segments,O
,of,O
,the,O
,gastrointestinal,O
,tract,O
,.,O
Sentence: 40,Soil,B-Quality
,depth,I-Quality
,(,O
,depth,B-Quality
,),O
,",",O
,depth,B-Quality
,Incremental,O
,soil,B-Quality
,depth,I-Quality
,as,O
,opposed,O
,to,O
,soil,B-Environment
,horizon,I-Environment
,",",O
,where,O
,each,O
,horizon,O
,could,O
,be,O
,of,O
,differen,O
,depth,B-Quality
,.,O
Sentence: 41,The,O
,City,O
,of,O
,Austin,B-Location
,s,O
,Tree,B-Phenomena
,Planting,I-Phenomena
,Prioritization,O
,serves,O
,as,O
,a,O
,decision,O
,support,O
,tool,O
,for,O
,locating,O
,tree,O
,planting,O
,sites,O
,for,O
,Austin,B-Location
,s,O
,October,O
,through,O
,March,O
,tree,B-Phenomena
,planting,I-Phenomena
,season,I-Phenomena
,.,O
Sentence: 42,The,O
,Gutianshan,O
,NNR,O
,has,O
,an,O
,area,B-Quality
,of,O
,approximately,O
,81,O
,km2,O
,.,O
Sentence: 43,(,O
,2010,O
,),O
,Mean,B-Quality
,percent,I-Quality
,leaf,I-Quality
,damage,I-Quality
,per,O
,tree,B-Organism
,",",O
,averaged,O
,over,O
,all,O
,leaves,O
,;,O
,Datagroup,O
,description,O
,:,O
,Mean,B-Quality
,herbivory,I-Quality
,visual,O
,Tree,B-Organism
,species,O
,identifier,O
,in,O
,the,O
,Main,O
,Experiment,O
,design,O
,(,O
,Tree_species,O
,),O
,",",O
,Tree_species,O
,Tree,B-Organism
,species,O
,identifier,O
,in,O
,the,O
,Main,O
,Experiment,O
,design,O
,(,O
,Tree_species,O
,:,O
,Species,O
,number,O
,of,O
,the,O
,tree,O
,individual,O
,),O
,Tree,B-Organism
,species,O
,identifier,O
,in,O
,the,O
,Main,O
,Experiment,O
,design,O
,Tree,B-Organism
,species,O
,identifier,O
,in,O
,the,O
,Main,O
,Experiment,O
,design,O
,Tree,B-Organism
,species,O
,identifier,O
,in,O
,the,O
,Main,O
,Experiment,O
,design,O
,Species,O
,number,O
,of,O
,the,O
,tree,B-Organism
,individual,O
,yes,O
,11860,O
Sentence: 44,(,O
,Hemiptera_sum,O
,:,O
,Total,O
,number,O
,of,O
,individuals,O
,of,O
,Hemiptera,B-Organism
,),O
,dimensionless,O
,real,O
,Organism,B-Quality
,count,I-Quality
,Counting,O
,the,O
,individuals,O
,of,O
,a,O
,given,O
,taxon,B-Organism
,",",O
,also,O
,called,O
,abundance,B-Quality
,.,O
Sentence: 45,Phylogenetic,O
,signals,O
,and,O
,trait,B-Phenomena
,evolution,I-Phenomena
,were,O
,assessed,O
,along,O
,the,O
,phylogeny,O
,.,O
Sentence: 46,Upper,B-Environment
,canopy,I-Environment
,heightwasdefined,O
,as,O
,themeanheight,O
,of,O
,the,O
,highest,O
,20,O
,%,O
,trees,B-Organism
,in,O
,the,O
,respective,O
,group.For,O
,each,O
,tree,B-Organism
,group,O
,",",O
,data,O
,for,O
,slope,O
,inclination,O
,and,O
,aspect,O
,were,O
,collected,O
,and,O
,transformed,O
,after,O
,Beers,O
,et,O
,al,O
,.,O
Sentence: 47,By,O
,using,O
,trait-based,O
,neighbourhood,O
,models,O
,",",O
,we,O
,quantified,O
,changes,O
,in,O
,aboveground,B-Quality
,wood,I-Quality
,productivity,I-Quality
,of,O
,3397,O
,trees,B-Organism
,that,O
,were,O
,planted,O
,in,O
,a,O
,large-scale,O
,tree,B-Organism
,diversity,O
,experiment,O
,in,O
,subtropical,B-Environment
,China,B-Location
,across,O
,gradients,O
,of,O
,neighbourhood,O
,diversity,O
,and,O
,climatic,B-Quality
,conditions,I-Quality
,over,O
,a,O
,six-year,O
,period,O
,.,O
Sentence: 48,Mapping,O
,the,O
,Drivers,O
,of,O
,Climate,B-Phenomena
,Change,I-Phenomena
,Vulnerability,O
,for,O
,Australia,O
,s,O
,Threatened,O
,Species,B-Organism
,Effective,O
,conservation,O
,management,O
,for,O
,climate,B-Phenomena
,adaptation,O
,rests,O
,on,O
,understanding,O
,the,O
,factors,O
,driving,O
,species,B-Organism
,species,O
,vulnerability,O
,in,O
,a,O
,spatially,O
,explicit,O
,manner,O
,so,O
,as,O
,to,O
,direct,O
,on-ground,O
,action,O
,.,O
Sentence: 49,The,O
,general,O
,design,O
,of,O
,BEF-China,O
,provides,O
,two,O
,TRUE,O
,TRUE,O
,replicates,O
,of,O
,each,O
,species,B-Organism
,species,O
,monocultures,O
,at,O
,the,O
,plot,O
,level,O
,(,O
,i.e,O
,.,O
Sentence: 50,The,O
,effects,O
,of,O
,the,O
,biomass-species,O
,richness,B-Quality
,interaction,O
,on,O
,complementarity,O
,varied,O
,among,O
,the,O
,individual,O
,processes,O
,",",O
,but,O
,the,O
,aggregated,O
,measures,O
,of,O
,complementarity,O
,over,O
,all,O
,ecosystem,B-Environment
,processes,O
,were,O
,significantly,O
,higher,O
,at,O
,the,O
,highest,O
,community,B-Environment
,biomass,B-Quality
,level,O
,.,O
Sentence: 51,axonomy,O
,species,B-Organism
,species,B-Quality
,name,I-Quality
,Find,O
,the,O
,list,O
,of,O
,keywords,O
,here,O
,:,O
,Species,B-Organism
,Individual,O
,Indiv_Sample,O
,Family,B-Quality
,Genus,B-Quality
,Leaf,B-Quality
,toughness,I-Quality
,Phenolics,O
,Tannin,B-Matter
,List,O
,of,O
,headers,O
,of,O
,the,O
,data,O
,columns,O
,in,O
,this,O
,dataset,O
,Experimental,O
,Sites,O
,in,O
,Xinganshan,O
,(,O
,Site,O
,A,O
,and,O
,Site,O
,B,O
,),O
,.,O
Sentence: 52,Target,O
,tree,B-Organism
,species,I-Organism
,are,O
,:,O
,Schima,B-Organism
,superba,I-Organism
,",",O
,Quercus,B-Organism
,serrata,I-Organism
,",",O
,Castanopsis,B-Organism
,eyrei,I-Organism
,",",O
,Castanea,B-Organism
,henryi,I-Organism
,Study,O
,design,O
,We,O
,decided,O
,on,O
,an,O
,individual-based,O
,approach,O
,to,O
,elucidate,O
,our,O
,hypotheses,O
,.,O
Sentence: 53,Results,O
,indicate,O
,that,O
,the,O
,American,O
,continent,B-Environment
,",",O
,and,O
,more,O
,specifically,O
,the,O
,USA,O
,",",O
,is,O
,the,O
,top,O
,contributor,O
,",",O
,while,O
,Africa,O
,and,O
,Antarctica,O
,are,O
,less,O
,well,O
,represented,O
,.,O
Sentence: 54,Plots,O
,labelled,O
,in,O
,the,O
,form,O
,of,O
,``,O
,1_AO1,O
,1_AO1,O
,or,O
,``,O
,g1_AO1,O
,g1_AO1,O
,or,O
,``,O
,pilot1_AO1,O
,pilot1_AO1,O
,belong,O
,to,O
,the,O
,``,O
,Pilot,O
,Experiment,O
,Experiment,O
,(,O
,approx,O
,location,O
,:,O
,29Â°06'20.2,O
,29Â°06'20.2,O
,N,O
,117Â°55'12.1,O
,117Â°55'12.1,O
,E,O
,",",O
,Jiangxi,B-Location
,Province,I-Location
,),O
,(,O
,CSP,O
,:,O
,name,O
,of,O
,the,O
,CSP,O
,in,O
,the,O
,Nature,O
,ReserveBEF,O
,research,O
,plot,O
,nameReasearch,O
,plots,O
,of,O
,the,O
,Biodiversity,O
,-,O
,Ecosystem,O
,functioning,O
,experiment,O
,(,O
,BEF-China,O
,),O
,.,O
Sentence: 55,code,O
,for,O
,planting,B-Phenomena
,locations,O
,",",O
,12,O
,digits,O
,with,O
,``,O
,t,O
,t,O
,in,O
,front,O
,PTAG,O
,(,O
,PTAG,O
,),O
,",",O
,id,O
,PTAG,O
,PTAG,O
,(,O
,PTAG,O
,:,O
,Plot,O
,ID,O
,across,O
,CSP,O
,",",O
,MainA,O
,and,O
,MainB,O
,),O
,PTAG,O
,PTAG,O
,PTAG,O
,Plot,O
,ID,O
,across,O
,CSP,O
,",",O
,MainA,O
,and,O
,MainB,O
,Elevation,O
,(,O
,ALTITUDE,B-Quality
,),O
,",",O
,m,O
,ALTITUDE,B-Quality
,Elevation,B-Quality
,above,I-Quality
,sea,I-Quality
,level,I-Quality
,",",O
,altitude,B-Quality
,(,O
,ALTITUDE,B-Quality
,:,O
,elevation,B-Quality
,(,O
,from,O
,interpolated,O
,raster,O
,),O
,;,O
,Datagroup,O
,description,O
,:,O
,Elevation,B-Quality
,above,I-Quality
,sea,I-Quality
,level,I-Quality
,.,O
Sentence: 56,If,O
,the,O
,top,O
,diameter,B-Quality
,is,O
,not,O
,given,O
